Test,Unit,n_obs,n_missing,mean,median,std,p10,p25,p75,p90,min,max,first_sample,last_sample,n_years,n_sites,lat_min,lat_max,lon_min,lon_max,frac_neg,frac_zero,frac_high
BOD : 5 Day ATU,mg/l,1431955,0,8.72458722086937,5.0,54.03964630156759,2.0,3.0,9.0,14.6,0.0,44700.0,2000-01-04 09:05:00,2025-10-03 12:18:00,26,10399,49.96034550516493,55.76539182754644,-5.6865014743701225,1.7427820456040073,0.0,8.380151610909561e-06,0.009997520871815106
"Solids, Suspended at 105 C",mg/l,1116866,0,14.473391377873442,9.0,132.83863544868163,3.0,5.0,16.0,25.2,0.0,91000.0,2000-01-04 09:05:00,2025-10-03 12:18:00,26,10357,49.96034550516493,55.76539182754644,-5.71493414721277,1.7427820456040073,0.0,3.5814502366443242e-06,0.009994932247915148
Ammoniacal Nitrogen as N,mg/l,970553,0,3.3870790417009684,0.81,9.171937517230857,0.177,0.451,2.71,7.54,0.0,2630.0,2000-01-04 09:05:00,2025-10-13 17:06:00,26,10159,49.98717901302896,55.76539182754644,-5.6865014743701225,1.7427820456040073,0.0,4.121361739132226e-06,0.009964422344786941
Temperature of Water,cel,432971,0,13.36616262812059,13.3,4.288205485381242,8.0,10.0,16.78,18.9,-4.0,606.0,2000-01-04 09:05:00,2025-10-13 12:44:00,26,6959,49.98717901302896,55.76539182754644,-5.6865014743701225,1.7427820456040073,6.9288705248157496e-06,0.00021941423328583208,0.009407096549191517
Chemical Oxygen Demand :- {COD},mg/l,416666,0,55.622746187401894,45.0,177.63274337240784,24.6,32.9,63.2,87.0,0.0,75200.0,2000-01-04 12:30:00,2025-09-30 10:30:00,26,4878,50.00174533222727,55.76539182754644,-5.567867920700759,1.7341401270856724,0.0,2.880004608007373e-05,0.00998401597442556
pH,phunits,409725,0,7.441042443346147,7.5,0.4103325854955845,6.99,7.2,7.7,7.9,0.0,14.0,2000-01-04 09:05:00,2025-10-13 12:44:00,26,7640,49.98717901302896,55.76539182754644,-5.6865014743701225,1.7427820456040073,0.0,1.952529135395692e-05,0.009728476417109036
"Nitrogen, Total Oxidised as N",mg/l,344114,0,17.384713155872763,16.4,17.23799877093004,3.06,9.78,23.5,30.3,0.0,3210.0,2000-01-04 09:05:00,2025-10-13 11:30:00,26,7359,49.98717901302896,55.76539182754644,-5.6865014743701225,1.7427820456040073,0.0,2.9060137047606317e-06,0.009947284911395642
"Orthophosphate, reactive as P",mg/l,340579,0,4.904548950786748,4.62,3.7154279443750253,0.81,2.36,6.77,8.85,0.0,412.0,2000-01-04 09:25:00,2025-10-13 11:30:00,26,7360,49.98717901302896,55.76539182754644,-5.6865014743701225,1.7427820456040073,0.0,1.4680881675029875e-05,0.009844999251275034
Chloride,mg/l,285494,0,164.54640360662572,95.1,527.5527594501539,51.0,70.525,133.0,203.0,0.01,27300.0,2000-01-04 09:05:00,2025-10-13 11:30:00,26,7463,49.98717901302896,55.76539182754644,-5.6865014743701225,1.7427820456040073,0.0,0.0,0.00999670746145278
"Phosphorus, Total as P",mg/l,194937,0,1.052791480119218,0.716,1.6223430482556276,0.22,0.401,1.23,1.97,0.0,400.0,2000-01-04 10:45:00,2025-10-01 08:20:00,26,1667,50.07278643407268,55.684961671285215,-5.610105525162705,1.667282078639332,0.0,2.5649312341936113e-05,0.009982712363481534
Iron,mg/l,186488,0,0.7867221281449746,0.391,16.414014554399397,0.0774,0.161,0.888,1.6,2e-05,3310.0,2000-01-04 09:36:00,2025-10-01 10:40:00,26,1769,50.09439484180631,55.76539182754644,-5.434512160253775,1.7341401270856724,0.0,0.0,0.009914847067907854
Nitrite as N,mg/l,167591,0,0.36826865410433735,0.2,1.4140104062682433,0.047,0.1,0.39,0.7,0.0,381.0,2000-01-04 09:05:00,2025-10-13 11:30:00,26,3137,50.07190907067018,55.76539182754644,-5.336791163641459,1.7341401270856724,0.0,2.9834537654169974e-05,0.010000537021677774
Nitrate as N,mg/l,162983,0,15.555239393556384,14.0,21.600390708827806,0.985,7.2,21.4,28.7,0.0,3200.0,2000-01-04 09:05:00,2025-09-19 09:50:00,26,2942,50.07190907067018,55.76539182754644,-5.336791163641459,1.425529471241605,0.0,4.908487388255217e-05,0.009988771835099367
Copper,mg/l,94382,0,0.013608074325612923,0.0081999999999999,0.15292618763278262,0.0029,0.00467,0.0143,0.0237,0.0,40.0,2000-01-04 09:05:00,2025-09-30 11:15:00,26,1049,50.15131692651347,55.76539182754644,-5.336791163641459,1.7427820456040073,0.0,1.0595240617914432e-05,0.00999131190269331
Zinc,mg/l,80852,0,0.04549206409241576,0.0324,0.12818375279802555,0.0149,0.0218,0.0495,0.0789,2e-05,18.6,2000-01-04 09:05:00,2025-09-30 11:15:00,26,1166,50.15131692651347,55.76539182754644,-5.322347051421597,1.7427820456040073,0.0,0.0,0.009968831939840696
Cadmium,mg/l,77161,0,0.00015838571169372816,0.0001,0.0021545412158789352,7.000000000000001e-05,0.0001,0.0001,0.000169,0.0,0.575,2000-01-04 09:05:00,2025-09-30 11:15:00,26,994,50.15131692651347,55.76539182754644,-5.322347051421597,1.7427820456040073,0.0,1.2959914982957711e-05,0.009914334961962649
Nickel,mg/l,75844,0,0.00996197828173619,0.005,0.02127755253252057,0.005,0.005,0.00737,0.0171,0.0,1.82,2000-01-04 09:05:00,2025-09-30 11:15:00,26,1006,50.15131692651347,55.76539182754644,-5.336791163641459,1.7427820456040073,0.0,5.273983439691999e-05,0.009994198618216339
Lead,mg/l,75699,0,0.003553521555106402,0.002,0.07797508295653702,0.0005,0.000979,0.00226,0.00458,0.0,20.0,2000-01-04 09:05:00,2025-09-30 11:15:00,26,997,50.15131692651347,55.76539182754644,-5.336791163641459,1.7427820456040073,0.0,6.605107068785585e-05,0.010000132102141375
Chromium,mg/l,75415,0,0.0030575045638135596,0.000864,0.03147523586367431,0.0005,0.0005,0.002,0.00492,3e-07,5.4,2000-01-04 09:05:00,2025-09-30 11:15:00,26,1014,50.15131692651347,55.76539182754644,-5.336791163641459,1.7427820456040073,0.0,0.0,0.00997149108267586
Aluminium,mg/l,66448,0,0.29570672124367925,0.063,3.6974607190549964,0.016,0.0273999999999999,0.2,0.67,1e-05,670.0,2000-01-04 13:25:00,2025-09-30 09:40:00,26,725,50.07278643407268,55.36993057913782,-5.434512160253775,1.3714352864107948,0.0,0.0,0.010007825668191668
"Flow, instantaneous",l/s,66001,0,707.7548837355495,12.53,47881.72639107229,0.93,3.0,70.8,327.3,0.0,5934160.0,2000-01-04 09:05:00,2025-09-26 09:34:00,26,1936,50.020237527866065,55.59858395397074,-5.686126897809646,1.7215345757240053,0.0,0.020060302116634596,0.009999848487144134
Mercury,mg/l,32960,0,5.6955293082523805e-05,1e-05,0.001402520283197719,1e-05,1e-05,2e-05,4.3e-05,8e-08,0.111,2000-01-04 09:05:00,2025-09-12 10:10:00,26,434,50.15131692651347,55.76539182754644,-5.336791163641459,1.7341401270856724,0.0,0.0,0.009981796116504854
Conductivity at 20 C,uS/cm,29925,0,1244.7670543024228,788.0,40997.016239121156,516.0,651.0,961.0,1330.0,10.0,7090000.0,2000-01-04 11:30:00,2025-06-19 19:00:00,20,1267,50.06503090432717,55.44260773544755,-5.2889659334764065,1.5751045831186634,0.0,0.0,0.010025062656641603
Ammonia un-ionised as N,mg/l,24810,0,0.030649355501813788,0.0087,0.10261760709594438,0.0019,0.00392,0.0238,0.0639,1e-05,7.42,2000-01-04 09:05:00,2025-09-19 09:50:00,26,2540,50.06503090432717,55.70162646479321,-5.351078257870047,1.7427820456040073,0.0,0.0,0.010036275695284159
"Oxygen, Dissolved, % Saturation",%,22231,0,70.42819891142999,72.3,71.37457135032327,42.4,57.2,84.7,93.4,0.0,9901.0,2000-01-05 00:01:00,2025-09-24 13:55:00,26,2355,49.98717901302896,55.76539182754644,-5.6865014743701225,1.5848174906177455,0.0,0.004633169897890334,0.009716162115964194
Arsenic,mg/l,21748,0,0.002456708455949969,0.001,0.006992669989054846,0.001,0.001,0.00166,0.00409,8.000000000000001e-07,0.461,2000-01-04 10:45:00,2025-09-12 10:10:00,26,344,50.15131692651347,55.76539182754644,-5.336791163641459,1.7341401270856724,0.0,0.0,0.010023910244620194
"Flow, instantaneous",ml/d,21030,0,1883.3347197603425,17.712,110184.55892727477,0.21326800000000007,2.558725,51.461999999999996,105.0,0.0,9999999.0,2000-01-04 09:05:00,2025-09-26 09:34:00,26,1936,50.020237527866065,55.59858395397074,-5.686126897809646,1.7215345757240053,0.0,0.007750832144555397,0.010033285782215882
HCH -gamma :- {Lindane},mg/l,20714,0,1.689914985034261e-05,1e-05,0.00018600678431198893,7.499999999999999e-06,8e-06,1.7999999999999997e-05,2.5e-05,1e-06,0.025,2000-01-04 10:51:00,2025-09-12 10:10:00,26,268,50.15131692651347,55.76539182754644,-5.336791163641459,1.425529471241605,0.0,0.0,0.010041517814038814
"Nitrogen, Total as N",mg/l,18626,0,20.059486953720608,15.4,144.66939035064428,5.47,8.48,26.8,36.4,0.21,19250.0,2000-01-11 14:30:00,2025-10-09 12:40:00,26,223,50.11299543392683,55.156662902851565,-5.610105525162705,1.5097721981240138,0.0,0.0,0.009986041017931923
Chloroform :- {Trichloromethane},mg/l,17959,0,0.0012014037691408085,0.00074,0.007232416751995339,0.00015,0.00032,0.00125,0.0023,4.2e-07,0.725,2000-01-04 11:30:00,2025-09-30 10:20:00,26,241,50.15131692651347,55.76539182754644,-5.336791163641459,1.6215494307667917,0.0,0.0,0.010022829778940921
HCH -alpha,mg/l,17106,0,1.6404340582251777e-05,1.1e-05,5.333931533744272e-05,1e-05,1.1e-05,2e-05,2.5e-05,8.000000000000001e-07,0.005,2000-01-04 10:51:00,2025-09-12 10:10:00,26,245,50.15131692651347,55.76539182754644,-5.336791163641459,1.425529471241605,0.0,0.0,0.005319770840640711
HCH -beta,mg/l,17036,0,1.5026837285747758e-05,1e-05,0.00010428926596678258,5e-06,5e-06,2e-05,2.5e-05,1e-06,0.01,2000-01-04 10:51:00,2025-09-12 10:10:00,26,244,50.15131692651347,55.76539182754644,-5.336791163641459,1.425529471241605,0.0,0.0,0.010037567504108946
Conductivity at 25 C,uS/cm,16439,0,1111.8467199951335,892.0,1567.2844718698088,558.0,715.0,1092.0,1473.0,0.0,53593.0,2000-01-11 14:40:00,2025-10-13 12:44:00,25,1638,50.09291988678562,55.76539182754644,-5.434512160253775,1.445751085551752,0.0,0.00012166190157552162,0.010037106879980533
Streptococci : Faecal : Presumptive : MF,no/100ml,16325,0,23367.839264928636,350.0,220996.47377653883,0.0,30.0,3500.0,30000.0,0.0,9999999.99999,2000-01-04 12:45:00,2025-08-20 09:00:00,26,239,50.06503090432717,54.882101117860536,-5.298094817195826,1.2847705587368599,0.0,0.10143950995405819,0.009800918836140888
Dieldrin,mg/l,15992,0,1.1870010005002496e-05,5e-06,5.5549853798812805e-05,5e-06,5e-06,1e-05,2.5e-05,6e-07,0.005,2000-01-04 10:51:00,2025-09-12 10:10:00,26,249,50.15131692651347,55.76539182754644,-5.336791163641459,1.425529471241605,0.0,0.0,0.0037518759379689846
Pentachlorophenol,mg/l,15219,0,8.65267888823176e-05,4e-05,0.0009374561507732998,2e-05,2e-05,0.0001,0.0001,1.5e-05,0.1,2000-01-04 09:05:00,2025-09-12 10:10:00,26,238,50.15131692651347,55.76539182754644,-5.336791163641459,1.425529471241605,0.0,0.0,0.005125172481766214
Tetrachloroethylene :- {Perchloroethylene},mg/l,15074,0,0.0005163897439299416,0.0001,0.006634422773369931,0.0001,0.0001,0.000236,0.00082,2.8e-05,0.613,2000-01-04 11:30:00,2025-09-04 09:52:00,26,233,50.15131692651347,55.76539182754644,-5.336791163641459,1.344966801706201,0.0,0.0,0.008557781610720445
Trichloroethylene :- {Trichloroethene},mg/l,14778,0,0.00024773704154824514,0.0001,0.001926335284651256,0.0001,0.0001,0.0001,0.00030790000000000326,0.0,0.165,2000-01-04 11:30:00,2025-08-28 13:45:00,26,233,50.15131692651347,55.76539182754644,-5.336791163641459,1.344966801706201,0.0,6.766815536608472e-05,0.00987955068344837
Escherichia coli : Presumptive : MF,no/100ml,14681,0,89624.76738641305,610.0,845935.918262019,0.0,70.0,7300.0,94000.0,0.0,78000000.0,2001-01-02 13:30:00,2025-08-20 09:00:00,25,70,50.23522237701555,54.86896156646967,-4.435615868707385,0.3784271513592912,0.0,0.10006130372590423,0.009944826646686193
Aldrin,mg/l,13549,0,1.3272795040224355e-05,5e-06,0.00022173505808193548,5e-06,5e-06,1e-05,2.5e-05,3e-07,0.025,2000-01-04 10:51:00,2025-09-12 10:10:00,26,222,50.15131692651347,55.76539182754644,-5.322347051421597,1.425529471241605,0.0,0.0,0.005756882426747361
Endrin,mg/l,13454,0,1.6818091273970567e-05,1.5e-05,6.534759994519218e-05,5e-06,5e-06,2e-05,2.5e-05,0.0,0.005,2000-01-04 10:51:00,2025-09-12 10:10:00,26,228,50.15131692651347,55.76539182754644,-5.322347051421597,1.425529471241605,0.0,0.0001486546751895347,0.006317823695555226
Hexachlorobenzene,mg/l,12849,0,9.152293563701456e-06,5e-06,4.7406582515437755e-05,5e-06,5e-06,1e-05,2.5e-05,3e-07,0.005,2000-01-04 10:51:00,2017-10-19 11:15:00,18,223,50.15131692651347,55.76539182754644,-5.322347051421597,1.425529471241605,0.0,0.0,0.008483150439722935
DDT -pp,mg/l,12803,0,9.76518003592908e-06,5e-06,5.028439213075039e-05,5e-06,5e-06,1e-05,2.5e-05,5e-07,0.005,2000-01-04 10:51:00,2017-10-19 11:15:00,18,222,50.15131692651347,55.76539182754644,-5.322347051421597,1.425529471241605,0.0,0.0,0.0014840271811294228
"1,2-Dichloroethane",mg/l,12594,0,0.001011186279180562,0.001,0.0031451327765933917,0.0001,0.0002,0.001,0.001,0.0001,0.204,2000-01-04 11:30:00,2016-11-23 12:32:00,17,229,50.15131692651347,55.76539182754644,-5.322347051421597,1.344966801706201,0.0,0.0,0.0098459583928855
Isodrin,mg/l,12291,0,1.1800691562932228e-05,1e-05,6.225099780530458e-05,5e-06,5e-06,1e-05,2e-05,3e-07,0.005,2000-01-04 10:51:00,2025-09-12 10:10:00,26,213,50.15131692651347,55.76539182754644,-5.322347051421597,1.425529471241605,0.0,0.0,0.0045561793182003095
"1,2,3-Trichlorobenzene",mg/l,12248,0,0.0001012950359242325,3e-05,0.000595944212956353,1e-05,1e-05,5e-05,5e-05,2e-06,0.02,2000-01-04 10:51:00,2025-09-12 10:10:00,26,206,50.15131692651347,55.76539182754644,-5.322347051421597,1.1357957507980339,0.0,0.0,0.009144350097975179
"1,2,4-Trichlorobenzene",mg/l,12047,0,0.00011036838216983473,3e-05,0.0006366159296767641,1e-05,1e-05,5e-05,5e-05,1e-06,0.02,2000-01-04 10:51:00,2025-09-12 10:10:00,26,205,50.15131692651347,55.76539182754644,-5.322347051421597,1.1357957507980339,0.0,0.0,0.00913090395949199
