Test,Unit,SourceYear,n_obs
"1,1,1,2-Tetrachloroethane",mg/l,2000,3
"1,1,1,2-Tetrachloroethane",mg/l,2001,28
"1,1,1,2-Tetrachloroethane",mg/l,2002,47
"1,1,1,2-Tetrachloroethane",mg/l,2003,53
"1,1,1,2-Tetrachloroethane",mg/l,2004,3
"1,1,1,2-Tetrachloroethane",mg/l,2006,14
"1,1,1,2-Tetrachloroethane",mg/l,2007,16
"1,1,1,2-Tetrachloroethane",mg/l,2008,5
"1,1,1,2-Tetrachloroethane",mg/l,2013,6
"1,1,1,2-Tetrachloroethane",mg/l,2014,30
"1,1,1-Trichloroethane",mg/l,2000,526
"1,1,1-Trichloroethane",mg/l,2001,753
"1,1,1-Trichloroethane",mg/l,2002,999
"1,1,1-Trichloroethane",mg/l,2003,989
"1,1,1-Trichloroethane",mg/l,2004,915
"1,1,1-Trichloroethane",mg/l,2005,808
"1,1,1-Trichloroethane",mg/l,2006,695
"1,1,1-Trichloroethane",mg/l,2007,649
"1,1,1-Trichloroethane",mg/l,2008,638
"1,1,1-Trichloroethane",mg/l,2009,409
"1,1,1-Trichloroethane",mg/l,2010,381
"1,1,1-Trichloroethane",mg/l,2011,389
"1,1,1-Trichloroethane",mg/l,2012,365
"1,1,1-Trichloroethane",mg/l,2013,389
"1,1,1-Trichloroethane",mg/l,2014,413
"1,1,1-Trichloroethane",mg/l,2015,331
"1,1,1-Trichloroethane",mg/l,2016,26
"1,1,2-Trichloroethane",mg/l,2000,93
"1,1,2-Trichloroethane",mg/l,2001,131
"1,1,2-Trichloroethane",mg/l,2002,297
"1,1,2-Trichloroethane",mg/l,2003,425
"1,1,2-Trichloroethane",mg/l,2004,305
"1,1,2-Trichloroethane",mg/l,2005,313
"1,1,2-Trichloroethane",mg/l,2006,321
"1,1,2-Trichloroethane",mg/l,2007,302
"1,1,2-Trichloroethane",mg/l,2008,322
"1,1,2-Trichloroethane",mg/l,2009,309
"1,1,2-Trichloroethane",mg/l,2010,251
"1,1,2-Trichloroethane",mg/l,2011,248
"1,1,2-Trichloroethane",mg/l,2012,227
"1,1,2-Trichloroethane",mg/l,2013,258
"1,1,2-Trichloroethane",mg/l,2014,284
"1,1,2-Trichloroethane",mg/l,2015,227
"1,1,2-Trichloroethane",mg/l,2016,19
"1,2,3-Trichlorobenzene",mg/l,2000,508
"1,2,3-Trichlorobenzene",mg/l,2001,1051
"1,2,3-Trichlorobenzene",mg/l,2002,1224
"1,2,3-Trichlorobenzene",mg/l,2003,1290
"1,2,3-Trichlorobenzene",mg/l,2004,1274
"1,2,3-Trichlorobenzene",mg/l,2005,1195
"1,2,3-Trichlorobenzene",mg/l,2006,787
"1,2,3-Trichlorobenzene",mg/l,2007,716
"1,2,3-Trichlorobenzene",mg/l,2008,739
"1,2,3-Trichlorobenzene",mg/l,2009,533
"1,2,3-Trichlorobenzene",mg/l,2010,469
"1,2,3-Trichlorobenzene",mg/l,2011,456
"1,2,3-Trichlorobenzene",mg/l,2012,431
"1,2,3-Trichlorobenzene",mg/l,2013,452
"1,2,3-Trichlorobenzene",mg/l,2014,474
"1,2,3-Trichlorobenzene",mg/l,2015,364
"1,2,3-Trichlorobenzene",mg/l,2016,77
"1,2,3-Trichlorobenzene",mg/l,2017,26
"1,2,3-Trichlorobenzene",mg/l,2018,24
"1,2,3-Trichlorobenzene",mg/l,2019,24
"1,2,3-Trichlorobenzene",mg/l,2020,24
"1,2,3-Trichlorobenzene",mg/l,2021,24
"1,2,3-Trichlorobenzene",mg/l,2022,24
"1,2,3-Trichlorobenzene",mg/l,2023,24
"1,2,3-Trichlorobenzene",mg/l,2024,22
"1,2,3-Trichlorobenzene",mg/l,2025,16
"1,2,3-Trimethylbenzene",mg/l,2000,152
"1,2,3-Trimethylbenzene",mg/l,2001,148
"1,2,3-Trimethylbenzene",mg/l,2002,168
"1,2,3-Trimethylbenzene",mg/l,2003,157
"1,2,3-Trimethylbenzene",mg/l,2004,92
